0,0,23,84,57,,,
1,1,7,3,4,2,6,5
2,2,1,4,26,10,14,6
3,3,36,19,20,4,1,7
4,4,3,20,28,26,2,1
5,5,7,1,6,31,,
6,6,5,1,2,14,32,31
7,7,36,3,1,5,,
8,8,14,10,11,9,13,12
9,9,8,11,56,55,13,
10,10,2,26,27,11,8,14
11,11,10,27,57,56,9,8
12,12,32,14,8,13,61,30
13,13,12,8,9,55,62,61
14,14,6,2,10,8,12,32
15,15,21,17,18,16,20,19
16,16,15,18,80,24,28,20
17,17,53,42,43,18,15,21
18,18,17,43,82,80,16,15
19,19,21,15,20,3,36,
20,20,19,15,16,28,4,3
21,21,53,17,15,19,,
22,22,28,24,25,23,27,26
23,23,22,25,84,0,57,27
24,24,16,80,81,25,22,28
25,25,24,81,85,84,23,22
26,26,4,28,22,27,10,2
27,27,26,22,23,57,11,10
28,28,20,16,24,22,26,4
29,29,35,31,32,30,34,33
30,30,29,32,12,61,65,34
31,31,5,6,32,29,35,
32,32,31,6,14,12,30,29
33,33,35,29,34,68,,
34,34,33,29,30,65,69,68
35,35,31,29,33,,,
36,36,19,3,7,,,
37,37,50,40,44,,,
38,38,44,40,41,39,43,42
39,39,38,41,90,78,82,43
40,40,37,50,51,41,38,44
41,41,40,51,92,90,39,38
42,42,44,38,43,17,53,
43,43,42,38,39,82,18,17
44,44,37,40,38,42,,
45,45,94,48,52,,,
46,46,52,48,49,47,51,50
47,47,46,49,100,88,92,51
48,48,45,94,95,49,46,52
49,49,48,95,102,100,47,46
50,50,52,46,51,40,37,
51,51,50,46,47,92,41,40
52,52,45,48,46,50,,
53,53,42,17,21,,,
54,54,62,55,60,,,
55,55,13,9,54,62,,
56,56,11,57,9,,,
57,57,27,23,0,56,11,
58,58,67,63,64,,,
59,59,65,61,62,60,64,63
60,60,59,62,54,64,,
61,61,30,12,13,62,59,65
62,62,61,13,55,54,60,59
63,63,69,65,59,64,58,67
64,64,63,59,60,58,,
65,65,34,30,61,59,63,69
66,66,70,68,69,67,,
67,67,66,69,63,58,,
68,68,33,34,69,66,70,
69,69,68,34,65,63,67,66
70,70,68,66,,,,
71,71,87,74,73,,,
72,72,79,73,83,77,,
73,73,91,87,71,72,79,
74,74,89,75,71,87,,
75,75,101,97,74,89,,
76,76,82,78,79,77,81,80
77,77,76,79,72,83,85,81
78,78,39,90,91,79,76,82
79,79,78,91,73,72,77,76
80,80,18,82,76,81,24,16
81,81,80,76,77,85,25,24
82,82,43,39,78,76,80,18
83,83,77,72,85,,,
84,84,25,85,0,23,,
85,85,81,77,83,84,25,
86,86,92,88,89,87,91,90
87,87,86,89,74,71,73,91
88,88,47,100,101,89,86,92
89,89,88,101,75,74,87,86
90,90,41,92,86,91,78,39
91,91,90,86,87,73,79,78
92,92,51,47,88,86,90,41
93,93,99,,,,,
94,94,95,48,45,,,
95,95,94,102,49,48,,
96,96,102,98,99,97,101,100
97,97,96,99,75,101,,
98,98,99,96,102,,,
99,99,98,93,97,96,,
100,100,49,102,96,101,88,47
101,101,100,96,97,75,89,88
102,102,95,98,96,100,49,
